config,file1,file2,file1_evm_mean,file1_evm_std,file1_evm_min,file1_evm_max,file2_evm_mean,file2_evm_std,file2_evm_min,file2_evm_max,mean_diff,std_diff,min_diff,max_diff
"('20m', ""'eht'"", 'BCC', '11', '2')",risc_wifitx_20m_['eht']_BCC_channel11_GILTF2_2025-1226-213134.csv,risc_wifitx_20m_['eht']_BCC_channel11_GILTF2_2026-0326-114624.csv,-31.432499999999997,1.8534400787162908,-33.26,-23.69,-31.59190625,1.8104585896018195,-33.47,-24.27,0.15940625000000352,0.042981489114471305,0.21000000000000085,0.5799999999999983
"('20m', ""'eht'"", 'BCC', '11', '3')",risc_wifitx_20m_['eht']_BCC_channel11_GILTF3_2025-1226-214225.csv,risc_wifitx_20m_['eht']_BCC_channel11_GILTF3_2026-0326-115737.csv,-31.37315625,1.878831685424528,-33.12,-23.4,-31.613218749999998,1.798378915345236,-33.5,-24.17,0.24006249999999696,0.08045277007929186,0.38000000000000256,0.7700000000000031
"('20m', ""'eht'"", 'BCC', '5180', '0')",risc_wifitx_20m_['eht']_BCC_channel5180_GILTF0_2025-1226-233015.csv,risc_wifitx_20m_['eht']_BCC_channel5180_GILTF0_2026-0325-101451.csv,-27.83746875,1.6832246721177833,-29.67,-20.59,-27.816312500000002,1.6912791700932235,-29.17,-20.42,-0.0211562499999971,-0.008054497975440222,-0.5,-0.16999999999999815
"('20m', ""'hesu'"", 'BCC', '11', '0')",risc_wifitx_20m_['hesu']_BCC_channel11_GILTF0_2025-1226-215319.csv,risc_wifitx_20m_['hesu']_BCC_channel11_GILTF0_2026-0326-111910.csv,-32.78798611111111,2.1248975641999808,-34.61,-23.93,-30.944765625,1.9803574658801686,-33.52,-24.28,-1.843220486111111,0.14454009831981218,-1.0899999999999963,0.3500000000000014
"('20m', ""'hesu'"", 'BCC', '11', '1')",risc_wifitx_20m_['hesu']_BCC_channel11_GILTF1_2025-1226-231930.csv,risc_wifitx_20m_['hesu']_BCC_channel11_GILTF1_2026-0326-104313.csv,-31.99888888888889,1.9569871642733043,-33.72,-23.88,-31.310062500000004,1.9416855931870043,-33.82,-23.93,-0.6888263888888844,0.015301571086300036,0.10000000000000142,0.05000000000000071
"('20m', ""'hesu'"", 'BCC', '11', '2')",risc_wifitx_20m_['hesu']_BCC_channel11_GILTF2_2025-1226-220253.csv,risc_wifitx_20m_['hesu']_BCC_channel11_GILTF2_2026-0326-105513.csv,-32.28875,2.040736484874239,-34.24,-23.94,-31.313187500000005,1.9545575297614894,-33.89,-24.02,-0.9755624999999952,0.08617895511274942,-0.3500000000000014,0.0799999999999983
"('20m', ""'hesu'"", 'BCC', '11', '3')",risc_wifitx_20m_['hesu']_BCC_channel11_GILTF3_2025-1226-221226.csv,risc_wifitx_20m_['hesu']_BCC_channel11_GILTF3_2026-0326-110712.csv,-31.315486111111113,1.889638473566316,-33.12,-23.38,-31.3051875,1.9444367944194438,-33.82,-23.96,-0.010298611111114298,-0.05479832085312775,0.7000000000000028,0.5800000000000018
"('20m', ""'hesu'"", 'BCC', '5180', '0')",risc_wifitx_20m_['hesu']_BCC_channel5180_GILTF0_2025-1226-234136.csv,risc_wifitx_20m_['hesu']_BCC_channel5180_GILTF0_2026-0324-214644.csv,-28.328958333333333,1.8018411871646918,-29.9,-20.84,-27.48765625,2.059367873495609,-29.05,-20.05,-0.841302083333332,-0.25752668633091735,-0.8499999999999979,-0.7899999999999991
"('20m', ""'ht'"", 'BCC', '11', '0')",risc_wifitx_20m_['ht']_BCC_channel11_GILTF0_2025-1226-222202.csv,risc_wifitx_20m_['ht']_BCC_channel11_GILTF0_2026-0325-151047.csv,-32.183085937499996,2.3857995429734773,-36.26,-23.32,-30.2658984375,2.2098139335738556,-34.01,-22.46,-1.9171874999999972,0.1759856093996217,-2.25,-0.8599999999999994
"('20m', ""'nht'"", 'BCC', '11', '0')",risc_wifitx_20m_['nht']_BCC_channel11_GILTF0_2025-1226-223524.csv,risc_wifitx_20m_['nht']_BCC_channel11_GILTF0_2026-0325-145701.csv,-32.3265625,2.524953183533484,-36.09,-23.04,-31.666015625,2.6308431034649367,-35.04,-21.77,-0.6605468750000014,-0.10588991993145269,-1.0500000000000043,-1.2699999999999996
"('20m', ""'vht'"", 'BCC', '11', '0')",risc_wifitx_20m_['vht']_BCC_channel11_GILTF0_2025-1226-222820.csv,risc_wifitx_20m_['vht']_BCC_channel11_GILTF0_2026-0325-171902.csv,-32.31552083333334,2.3439538366645865,-35.82,-23.49,-29.607222222222227,3.26245358693288,-33.82,-17.82,-2.708298611111111,-0.9184997502682934,-2.0,-5.669999999999998
