Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;PHY_TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~
0x0004;PHY_CLK_CONF_FORCE_ON;pclk;reset_n;;;reg_glb_clk_fo;[31];1'b0;R/W;;;;~
;;;;;;reg_clk_tx_11b_fo;[30];1'b0;R/W;;;;~
;;;;;;;[29];1'h0;RO;;;;
;;;;;;reg_clk_ftm_fo;[28];1'b0;R/W;;;;~
;;;;;;;[27:3];25'h0;RO;;;;
;;;;;;reg_clk_fft_fo;[2:1];2'b0;R/W;;;;~
;;;;;;reg_clk_fft_mem_fo;[0];1'b0;R/W;;;;~
0x0008;PHY_RST_CONF;pclk;reset_n;;;reg_rst_phy_640m;[31];1'b0;R/W;;;;~
;;;;;;reg_rst_phy_320m;[30];1'b0;R/W;;;;~
;;;;;;reg_rst_phy_80m;[29];1'b0;R/W;;;;~
;;;;;;reg_rst_phy_44m;[28];1'b0;R/W;;;;~
;;;;;;reg_rst_tx_rx_freq_mux;[27];1'b0;R/W;;;;~
;;;;;;reg_rst_fft_out;[26];1'b0;R/W;;;;~
;;;;;;;[25:0];26'h0;RO;;;;
0x000C;PHY_GLB_CONF;pclk;reset_n;;;reg_phy_mode;[31:30];2'h0;R/W;;;;~
;;;;;;reg_m20_position;[29:26];4'h0;R/W;;;;~
;;;;;;reg_fft_2x_en;[25];1'b1;R/W;;;;
;;;;;;reg_dpd_hbf_on;[24];1'b0;R/W;;;;
;;;;;;reg_rx_ch_en;[23:22];2'h3;R/W;;;;~
;;;;;;reg_tx_dfe_inpre_zeros;[21];1'h1;R/W;;;;~
;;;;;;reg_fc_mhz_inver;[20:12];9'd433;R/W;;;;~
;;;;;;reg_adc_sr;[11:10];2'b0;R/W;;;;
;;;;;;;[9:6];4'd0;RO;;;;
;;;;;;reg_ap_phy_mode;[5:4];2'h0;R/W;;;;~
;;;;;;;[3:2];2'd0;RO;;;;
;;;;;;reg_phymode_limit_en;[1];1'b1;R/W;;;;~
;;;;;;reg_tx_rf_test_en;[0];1'b0;R/W;;;;~
0x0010;PHY_DUMP_CONF0;pclk;reset_n;;;reg_phy_dump_len;[31:16];16'h0;R/W;;;;~
;;;;;;;[15];1'b0;RO;;;;
;;;;;;reg_phy_dump_vld_fo;[14];1'b0;R/W;;;;~
;;;;;;reg_phy_dump_mode;[13:12];2'h0;R/W;;;;~
;;;;;;reg_phy_dump_node;[11:0];12'd0;R/W;;;;~
0x0014;PHY_DUMP_CONF1;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_phy_rx_digital_dly_num;[29:23];7'd20;R/W;;;;~
;;;;;;reg_phy_rx_rf_dly_num;[22:16];7'd10;R/W;;;;~
;;;;;;;[15:13];3'd0;RO;;;;
;;;;;;reg_phy_rx_dly_en;[12];1'b0;R/W;;;;~
;;;;;;reg_phy_dump_err_tri_node;[11:8];4'd7;R/W;;;;~
;;;;;;;[7:5];3'd0;RO;;;;
;;;;;;reg_phy_dump_err_tri_mode;[4];1'h0;R/W;;;;~
;;;;;;;[3:1];3'd0;RO;;;;
;;;;;;reg_phy_dump_en;[0];1'h0;R/W;;;;~
0x0018;PHY_DUMP_CONF2;pclk;reset_n;;;;[31:29];3'd0;RO;;;;
;;;;;;reg_phy_dump_trig_3sel;[28:24];5'h03;R/W;;;;~
;;;;;;;[23:21];3'd0;RO;;;;
;;;;;;reg_phy_dump_trig_2sel;[20:16];5'h13;R/W;;;;~
;;;;;;;[15:13];3'd0;RO;;;;
;;;;;;reg_phy_dump_trig_1sel;[12:8];5'h00;R/W;;;;~
;;;;;;;[7:5];3'd0;RO;;;;
;;;;;;reg_phy_dump_trig_0sel;[4:0];5'h10;R/W;;;;~
0x001C;PHY_DFX_CONF0;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;;;reg_phy_dfx_en;[0];1'h0;R/W;;;;~
0x0020;PHY_FTM_CONF0;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;;;reg_phy_ftm_en;[0];1'h0;R/W;;;;~
0x0024;PHY_TRXCALI_CONF0;pclk;reset_n;;;;[31:7];25'h0;RO;;;;
;;;;;;reg_dpd_mode;[6];1'h0;R/W;;;;
;;;;;;reg_dpd_status;[5:4];2'h0;R/W;;;;
;;;;;;;[3];1'h0;RO;;;;
;;;;;;reg_iq_status;[2:0];3'h0;R/W;;;;~
0x0028;PHY_FTM_CONF1;pclk;reset_n;;;;[31:12];20'h0;RO;;;;
;;;;;;reg_th_coeff_160;[11:9];3'd4;R/W;;;;
;;;;;;reg_th_coeff_80;[8:6];3'd4;R/W;;;;
;;;;;;reg_th_coeff_40;[5:3];3'd4;R/W;;;;
;;;;;;reg_th_coeff_20;[2:0];3'd3;R/W;;;;
0x002C;DATE;pclk;reset_n;;;;[31:28];4'b0;RO;;;;
;;;;Not;;reg_date;[27:0];28'h2503280;R/W;;;;~
