Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;~
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~
0x0004;FFT_CONF;pclk;reset_n;;;;[31:24];8'h0;RO;;;;~
;;;;;;reg_fft_err_disable;[23:16];8'd0;R/W ;;;;~
;;;;;;reg_fft_dump_sel3;[15:12];4'd0;R/W ;;;;~
;;;;;;reg_fft_dump_sel2;[11:8];4'd0;R/W ;;;;~
;;;;;;reg_fft_dump_sel1;[7:4];4'd0;R/W ;;;;~
;;;;;;reg_fft_dump_sel0;[3:0];4'd0;R/W ;;;;~
0x0008;FFT_SPUR_CONF;pclk;reset_n;;;;[31:14];18'h0;RO;;;;~
;;;;;;reg_spur_dump_tone_sel;[13:12];2'd0;R/W ;;;;~
;;;;;;;[11];1'd0;RO ;;;;~
;;;;;;reg_ant1_spur_cancel_num;[10:8];3'd1;R/W ;;;;~
;;;;;;;[7];1'd0;RO ;;;;~
;;;;;;reg_ant0_spur_cancel_num;[6:4];3'd1;R/W ;;;;~
;;;;;;;[3:1];3'd0;RO ;;;;~
;;;;;;reg_spur_cancel_ena;[0];1'd0;R/W ;;;;~
0x000C;FFT_SPUR_PWR_DIFF_MCS0;pclk;reset_n;;;;[31:30];2'h0;RO;;;;~
;;;;;;reg_spur_pwr_diff_mcs5;[29:25];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs4;[24:20];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs3;[19:15];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs2;[14:10];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs1;[9:5];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs0;[4:0];5'd0;R/W ;;;;~
0x0010;FFT_SPUR_PWR_DIFF_MCS1;pclk;reset_n;;;;[31:30];2'h0;RO;;;;~
;;;;;;reg_spur_pwr_diff_mcs11;[29:25];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs10;[24:20];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs9;[19:15];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs8;[14:10];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs7;[9:5];5'd0;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_mcs6;[4:0];5'd0;R/W ;;;;~
0x0014;FFT_SPUR_PWR_DIFF_MCS2;pclk;reset_n;;;;[31:5];27'h0;RO;;;;~
;;;;;;reg_spur_pwr_diff_mcs12;[4:0];5'd0;R/W ;;;;~
0x0018;FFT_SPUR_PWR_DIFF_TH;pclk;reset_n;;;;[31:25];7'h0;RO;;;;~
;;;;;;reg_spur_pwr_diff_th4;[24:20];5'd17;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_th3;[19:15];5'd20;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_th2;[14:10];5'd23;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_th1;[9:5];5'd26;R/W ;;;;~
;;;;;;reg_spur_pwr_diff_th0;[4:0];5'd29;R/W ;;;;~
0x001C;FFT_SPUR_TONE_WEIGHT;pclk;reset_n;;;;[31:25];7'h0;RO;;;;~
;;;;;;reg_single_tone_weight4;[24:20];5'd12;R/W ;;;;~
;;;;;;reg_single_tone_weight3;[19:15];5'd8;R/W ;;;;~
;;;;;;reg_single_tone_weight2;[14:10];5'd4;R/W ;;;;~
;;;;;;reg_single_tone_weight1;[9:5];5'd2;R/W ;;;;~
;;;;;;reg_single_tone_weight0;[4:0];5'd0;R/W ;;;;~
0x0020;FFT_SPUR_TONE_PWR0;pclk;reset_n;;;reg_ant0_single_tone_pwr3;[31:24];8'd166;R/W;;;;~
;;;;;;reg_ant0_single_tone_pwr2;[23:16];8'd166;R/W ;;;;~
;;;;;;reg_ant0_single_tone_pwr1;[15:8];8'd166;R/W ;;;;~
;;;;;;reg_ant0_single_tone_pwr0;[7:0];8'd166;R/W ;;;;~
0x0024;FFT_SPUR_TONE_PWR1;pclk;reset_n;;;reg_ant1_single_tone_pwr3;[31:24];8'd166;R/W;;;;~
;;;;;;reg_ant1_single_tone_pwr2;[23:16];8'd166;R/W ;;;;~
;;;;;;reg_ant1_single_tone_pwr1;[15:8];8'd166;R/W ;;;;~
;;;;;;reg_ant1_single_tone_pwr0;[7:0];8'd166;R/W ;;;;~
0x0028;FFT_SPUR_TONE_FREQ0;pclk;reset_n;;;;[31:28];4'h0;RO;;;;~
;;;;;;reg_ant0_single_tone_freq_mhz1;[27:14];14'd16175;R/W ;;;;~
;;;;;;reg_ant0_single_tone_freq_mhz0;[13:0];14'd16175;R/W ;;;;~
0x002C;FFT_SPUR_TONE_FREQ1;pclk;reset_n;;;;[31:28];4'h0;RO;;;;~
;;;;;;reg_ant0_single_tone_freq_mhz3;[27:14];14'd16175;R/W ;;;;~
;;;;;;reg_ant0_single_tone_freq_mhz2;[13:0];14'd16175;R/W ;;;;~
0x0030;FFT_SPUR_TONE_FREQ2;pclk;reset_n;;;;[31:28];4'h0;RO;;;;~
;;;;;;reg_ant1_single_tone_freq_mhz1;[27:14];14'd209;R/W ;;;;~
;;;;;;reg_ant1_single_tone_freq_mhz0;[13:0];14'd209;R/W ;;;;~
0x0034;FFT_SPUR_TONE_FREQ3;pclk;reset_n;;;;[31:28];4'h0;RO;;;;~
;;;;;;reg_ant1_single_tone_freq_mhz3;[27:14];14'd209;R/W ;;;;~
;;;;;;reg_ant1_single_tone_freq_mhz2;[13:0];14'd209;R/W ;;;;~
0x0038;DATE;pclk;reset_n;;;;[31:28];4'b0;RO;;;;~
;;;;Not;;reg_date;[27:0];28'h2504080;R/W;;;;~
