Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;TEST_CONF_RX11B;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~
0x0004;CONF_RX11B_EN;pclk;reset_n;;;;[31:2];30'd0;RO;;;;
;;;;;;reg_rx11b_lr_rx_en;[1];1'b1;R/W;;;;~
;;;;;;reg_rx11b_le_rx_en;[0];1'b1;R/W;;;;~
0x0008;CONF_CLK_RST_RX11B;pclk;reset_n;;;;[31:10];22'd0;RO;;;;
;;;;;;reg_rx11b_rst_44m;[9];1'b0;R/W;;;;~
;;;;;;reg_rx11b_rst_40m;[8];1'b0;R/W;;;;~
;;;;;;;[7:3];5'd0;RO;;;;
;;;;;;reg_rx11b_dec_clk_fo;[2];1'b0;R/W;;;;~
;;;;;;reg_rx11b_44m_clk_fo;[1];1'b0;R/W;;;;~
;;;;;;reg_rx11b_40m_clk_fo;[0];1'b0;R/W;;;;~
0x000C;DOTB_PED_TED_DLY;pclk;reset_n;;;;[31:24];8'd0;RO;;;;
;;;;;;reg_11b_dll_work_delta_sym;[23:20];4'd2;R/W;;;;
;;;;;;reg_11b_pll_work_delta_sym;[19:16];4'd2;R/W;;;;
;;;;;;;[15:13];3'd0;RO;;;;
;;;;;;reg_le_ped_start_dly;[12:8];5'd3;R/W;;;;
;;;;;;;[7:5];3'd0;RO;;;;
;;;;;;reg_lr_ped_start_dly;[4:0];5'd3;R/W;;;;
0x0010;DOTB_PED_SFD;pclk;reset_n;;;;[31:27];5'd0;RO;;;;
;;;;;;reg_ped_u_freq_scaling_pll_for_sfd;[26:12];15'd5243;R/W;;;;
;;;;;;;[11:9];3'd0;RO;;;;
;;;;;;reg_ped_u_scaling_pll_for_sfd;[8:0];9'd176;R/W;;;;
0x0014;DOTB_LR_PED_SFD;pclk;reset_n;;;;[31:27];5'd0;RO;;;;
;;;;;;reg_lr_ped_u_freq_scaling_pll_for_sfd;[26:12];15'd5243;R/W;;;;
;;;;;;;[11:9];3'd0;RO;;;;
;;;;;;reg_lr_ped_u_scaling_pll_for_sfd;[8:0];9'd176;R/W;;;;
