Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~
0x0004;RXFREQ_CRG_CONF0;pclk;reset_n;;;;[31:4];28'h0;RO;;;;
;;;;;;reg_clk_rxfreq_cg_bypass;[3];1'h0;R/W;;;;~
;;;;;;reg_rst_rxfreq_cg_bypass;[2];1'h0;R/W;;;;~
;;;;;;reg_clk_rxmac_cg_bypass ;[1];1'h0;R/W;;;;~
;;;;;;reg_rst_rxmac_cg_bypass ;[0];1'h0;R/W;;;;~
0x0008;CHNEST_CONF0;pclk;reset_n;;;;[31:26];6'h0;RO;;;;
;;;;;;reg_hltf_postsnr_rmvdc_num;[25:22];4'd6;R/W;;;;
;;;;;;reg_dc_weight_rmvdc_num   ;[21:18];4'd4 ;R/W;;;;
;;;;;;reg_bwdet_0threshold;[17:12];6'h20;R/W;;;;
;;;;;;reg_bwdet_1threshold;[11:6];6'h8;R/W;;;;
;;;;;;reg_bwdet_2threshold;[5:0];6'h3;R/W;;;;
0x000C;CHNEST_CONF1;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_sig_phase_avg_len;[23:21];3'h2;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_0len;[20:18];3'd5;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_1len;[17:15];3'd5;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_2len;[14:12];3'd5;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_3len;[11:9];3'd5;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_4len;[8:6];3'd5;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_5len;[5:3];3'd5;R/W;;;;
;;;;;;reg_nonhe_data_phase_avg_6len;[2:0];3'd5;R/W;;;;~
0x0010;CHNEST_CONF2;pclk;reset_n;;;;[31:21];11'h0;RO;;;;
;;;;;;reg_he_data_phase_avg_0len;[20:18];3'd2;R/W;;;;
;;;;;;reg_he_data_phase_avg_1len;[17:15];3'd2;R/W;;;;
;;;;;;reg_he_data_phase_avg_2len;[14:12];3'd2;R/W;;;;
;;;;;;reg_he_data_phase_avg_3len;[11:9];3'd2;R/W;;;;
;;;;;;reg_he_data_phase_avg_4len;[8:6];3'd2;R/W;;;;
;;;;;;reg_he_data_phase_avg_5len;[5:3];3'd2;R/W;;;;
;;;;;;reg_he_data_phase_avg_6len;[2:0];3'd2;R/W;;;;~
0x0014;CHNEST_CONF3;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_tb_data_phase_avg_0len;[13:12];2'd2;R/W;;;;~
;;;;;;reg_tb_data_phase_avg_1len;[11:10];2'd2;R/W;;;;~
;;;;;;reg_tb_data_phase_avg_2len;[9:8];2'd2;R/W;;;;~
;;;;;;reg_tb_data_phase_avg_3len;[7:6];2'd2;R/W;;;;~
;;;;;;reg_tb_data_phase_avg_4len;[5:4];2'd2;R/W;;;;~
;;;;;;reg_tb_data_phase_avg_5len;[3:2];2'd2;R/W;;;;~
;;;;;;reg_tb_data_phase_avg_6len;[1:0];2'd2;R/W;;;;~
0x0018;CHNEST_CONF4;pclk;reset_n;;;;[31:27];5'h0;RO;;;;
;;;;;;reg_nonhe_datafreqoffset_dis_len;[26:24];3'h6;R/W;;;;
;;;;;;reg_he_datafreqoffset_dis_len   ;[23:21];3'h6;R/W;;;;
;;;;;;reg_aci_bwdet_threshold         ;[20:18];3'h1;R/W;;;;
;;;;;;reg_aci_bwdet_min_threshold     ;[17:5];13'h400;R/W;;;;
;;;;;;reg_heofdm_dymfftsize_en        ;[4];1'h1;R/W;;;;
;;;;;;reg_mimodet_low_pwr_en          ;[3];1'h1;R/W;;;;~
;;;;;;reg_minnoise                    ;[2:0];3'h1;R/W;;;;
0x001C;CHNEST_CONF5;pclk;reset_n;;;;[31:6];26'h0;RO;;;;
;;;;;;reg_smth_cg_bypass           ;[5];1'h0;R/W;;;;~
;;;;;;reg_chnest_data_cg_bypass    ;[4];1'h0;R/W;;;;~
;;;;;;reg_chnest_bwdet_cg_bypass   ;[3];1'h0;R/W;;;;~
;;;;;;reg_chnest_preamble_cg_bypass;[2];1'h0;R/W;;;;~
;;;;;;reg_chnest_hmem_a_cg_bypass  ;[1];1'h0;R/W;;;;~
;;;;;;reg_chnest_hmem_b_cg_bypass  ;[0];1'h0;R/W;;;;~
0x0020;CHNEST_CONF6;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_sig_refinefreq_err_thre;[27:22];6'd31;R/W;;;;
;;;;;;reg_data_refine_afactor;[21:20];2'd3;R/W;;;;
;;;;;;reg_lltf_phase_err_thre    ;[19:9];11'd393;R/W;;;;
;;;;;;reg_irc_smth_thre          ;[8:4];5'd13;R/W;;;;
;;;;;;reg_hedlofdm_force_2xfft_en;[3];1'h1;R/W;;;;
;;;;;;reg_sig_refineoffset_en    ;[2];1'h1;R/W;;;;
;;;;;;reg_data_refineoffset_en   ;[1];1'h1;R/W;;;;
;;;;;;reg_dlmumimo_irc_en        ;[0];1'h1;R/W;;;;
0x0024;CHNEST_CONF7;pclk;reset_n;;;reg_lowsnr_datarefine_bypass_thre;[31:28];4'd14;R/W;;;;
;;;;;;reg_nonhe_phase_corr_mask_symnum;[27:26];2'd0 ;R/W;;;;
;;;;;;reg_he_phase_corr_mask_symnum;[25:24];2'd0;R/W;;;;
;;;;;;reg_nonhe_data_refine_acc_num      ;[23:21];3'd7 ;R/W;;;;
;;;;;;reg_he_data_refine_acc_num      ;[20:18];3'd7 ;R/W;;;;
;;;;;;reg_lltf_noise_rmvdc_num     ;[17:15];3'd3 ;R/W;;;;
;;;;;;reg_sig_phasediff_rmvdc_num  ;[14:12];3'd3 ;R/W;;;;
;;;;;;reg_lltf_corr_err_num_maxthre;[11:8];4'd10;R/W;;;;
;;;;;;reg_phase_correction_en;[7];1'h1;R/W;;;;
;;;;;;reg_lltf_corr_err_neg_maxthre;[6:0];7'd63;R/W;;;;
0x0028;CHNEST_CONF8;pclk;reset_n;;;;[31:22];10'h0;RO;;;;
;;;;;;reg_amp_avg_mcs_thre   ;[21:18];4'd3;R/W;;;;
;;;;;;reg_amp_avg_symnum_thre;[17:14];4'd10;R/W;;;;
;;;;;;reg_tb_data_refine_acc_num   ;[13:12];2'd2;R/W;;;;~
;;;;;;reg_tb_datafreqoffset_dis_len;[11:10];2'd3;R/W;;;;~
;;;;;;reg_dc_weight_freqshift_thre;[9:0];10'd0;R/W;;;;
0x002C;CHNEST_CONF9;pclk;reset_n;;;reg_hltf_smooth_snr_thre;[31:26];6'd45;R/W;;;;
;;;;;;reg_data_amp_track_en      ;[25];1'd1 ;R/W;;;;
;;;;;;reg_nonhe_data_amp_avg_len ;[24:22];3'd5 ;R/W;;;;
;;;;;;reg_he_data_amp_avg_len    ;[21:19];3'd5 ;R/W;;;;
;;;;;;reg_tb_data_amp_avg_len    ;[18:17];2'd2 ;R/W;;;;~
;;;;;;reg_amp_avg_ref_thre       ;[16:11];6'd10;R/W;;;;
