Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~
0x0004;CLK_CONF;pclk;reset_n;;;;[31:17];15'b0;RO;;;;
;;;;;;reg_clk_dcest_cg_bypass;[16];1'b0;R/W;;;;~
;;;;;;reg_clk_dfs_cg_bypass;[15];1'b0;R/W;;;;~
;;;;;;reg_clk_rx_agc_cal_cg_bypass;[14];1'b0;R/W;;;;~
;;;;;;reg_clk_dfe_cal_cg_bypass;[13];1'b0;R/W;;;;~
;;;;;;reg_clk_rx_cg_bypass;[12];1'b0;R/W;;;;~
;;;;;;reg_clk_sync_cg_bypass;[11];1'b0;R/W;;;;~
;;;;;;reg_clk_agc_cg_bypass;[10];1'b0;R/W;;;;~
;;;;;;reg_clk_cca_cg_bypass;[9];1'b0;R/W;;;;~
;;;;;;reg_clk_dfe_cg_bypass;[8];1'b0;R/W;;;;~
;;;;;;reg_clk_11b_cg_bypass;[7];1'b0;R/W;;;;~
;;;;;;reg_rst_dfs_cg_bypass;[6];1'b0;R/W;;;;~
;;;;;;reg_rst_rx_cg_bypass;[5];1'b0;R/W;;;;~
;;;;;;reg_rst_sync_cg_bypass;[4];1'b0;R/W;;;;~
;;;;;;reg_rst_agc_cg_bypass;[3];1'b0;R/W;;;;~
;;;;;;reg_rst_cca_cg_bypass;[2];1'b0;R/W;;;;~
;;;;;;reg_rst_dfe_cg_bypass;[1];1'b0;R/W;;;;~
;;;;;;reg_rst_11b_cg_bypass;[0];1'b0;R/W;;;;~
0x0008;AGC_CONF0;pclk;reset_n;;;;[31:27];5'h0;RO;;;;
;;;;;;reg_agc_fix_gain_mode;[26];1'b0;R/W;;;;~
;;;;;;reg_agc_clk_gain_cg_bypass;[25];1'b0;R/W;;;;~
;;;;;;reg_agc_clk_st_cg_bypass;[24];1'b0;R/W;;;;~
;;;;;;reg_agc_clk_pow_cg_bypass;[23];1'b0;R/W;;;;~
;;;;;;reg_exlna_gain_1c;[22:16];7'h16;R/W;;;;
;;;;;;;[15];1'h0;RO;;;;
;;;;;;reg_exlna_gain_0c;[14:8];7'h6e;R/W;;;;
;;;;;;;[7:1];7'h0;RO;;;;
;;;;;;reg_exlna_used;[0];1'h0;R/W;;;;
0x000C;AGC_CONF1;pclk;reset_n;;;reg_intlna_gain_0c;[31:24];8'hee;R/W;;;;
;;;;;;reg_intlna_gain_1c;[23:16];8'hfa;R/W;;;;
;;;;;;reg_intlna_gain_2c;[15:8];8'h6;R/W;;;;
;;;;;;reg_intlna_gain_3c;[7:0];8'h12;R/W;;;;
0x0010;AGC_CONF2;pclk;reset_n;;;reg_intlna_gain_4c;[31:24];8'h1e;R/W;;;;
;;;;;;reg_intlna_gain_5c;[23:16];8'h2a;R/W;;;;
;;;;;;reg_intlna_gain_6c;[15:8];8'h36;R/W;;;;
;;;;;;reg_intlna_gain_7c;[7:0];8'h42;R/W;;;;
0x0014;AGC_CONF3;pclk;reset_n;;;reg_intlna_switch_0c;[31:24];8'hf0;R/W;;;;
;;;;;;reg_intlna_switch_1c;[23:16];8'hec;R/W;;;;
;;;;;;reg_intlna_switch_2c;[15:8];8'he7;R/W;;;;
;;;;;;reg_intlna_switch_3c;[7:0];8'he1;R/W;;;;
0x0018;AGC_CONF4;pclk;reset_n;;;reg_exlna_switch;[31:24];8'he0;R/W;;;;
;;;;;;reg_intlna_switch_4c;[23:16];8'hdb;R/W;;;;
;;;;;;reg_intlna_switch_5c;[15:8];8'hd5;R/W;;;;
;;;;;;reg_intlna_switch_6c;[7:0];8'hd2;R/W;;;;
0x001C;AGC_CONF5;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_intlna_part2_gain_0c;[23:18];6'he;R/W;;;;
;;;;;;reg_intlna_part2_gain_1c;[17:12];6'h1a;R/W;;;;
;;;;;;reg_intlna_part2_gain_2c;[11:6];6'h1a;R/W;;;;
;;;;;;reg_intlna_part2_gain_3c;[5:0];6'h1a;R/W;;;;
0x0020;AGC_CONF6;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_intlna_part2_gain_4c;[23:18];6'h1a;R/W;;;;
;;;;;;reg_intlna_part2_gain_5c;[17:12];6'h1a;R/W;;;;
;;;;;;reg_intlna_part2_gain_6c;[11:6];6'h1a;R/W;;;;
;;;;;;reg_intlna_part2_gain_7c;[5:0];6'h26;R/W;;;;
0x0024;AGC_CONF7;pclk;reset_n;;;;[31:18];14'h0;RO;;;;
;;;;;;reg_data_path_adc_gain;[17:9];9'h1a0;R/W;;;;
;;;;;;reg_pdet_path_adc_gain;[8:0];9'h17c;R/W;;;;
0x0028;AGC_CONF8;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_min_vga_gain;[23:18];6'h3b;R/W;;;;
;;;;;;reg_max_vga_gain;[17:12];6'h14;R/W;;;;
;;;;;;reg_data_path_gain_offset;[11:6];6'h38;R/W;;;;
;;;;;;reg_pdet_path_gain_offset;[5:0];6'h2c;R/W;;;;
0x002C;AGC_CONF9;pclk;reset_n;;;;[31:25];8'h0;RO;;;;
;;;;;;reg_pow_est_2x;[24];1'h1;R/W;;;;
;;;;;;reg_pow_est_coarse;[23:18];6'h10;R/W;;;;
;;;;;;reg_pow_est_fine;[17:12];6'h10;R/W;;;;
;;;;;;reg_pow_est_tracking;[11:6];6'h10;R/W;;;;
;;;;;;reg_pow_est_htstf;[5:0];6'h10;R/W;;;;
0x0030;AGC_CONF10;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_sau_num_b4ltf_th;[27:23];5'h5;R/W;;;;
;;;;;;reg_sau_b4ltf_win;[22:18];5'h8;R/W;;;;
;;;;;;reg_sat_val_atltf_th;[17:10];8'h6e;R/W;;;;
;;;;;;reg_sau_num_atltf_th;[9:5];5'h5;R/W;;;;
;;;;;;reg_sau_atltf_win;[4:0];5'h8;R/W;;;;
0x0034;AGC_SAU_AT_STF;pclk;reset_n;;;;[31:27];5'h0;RO;;;;
;;;;;;reg_pk_pow_diff_max;[26:18];9'd30;R/W;;;;
;;;;;;reg_sat_val_atstf_th;[17:10];8'h50;R/W;;;;
;;;;;;reg_sau_num_atstf_th;[9:5];5'h5;R/W;;;;
;;;;;;reg_sau_atstf_win;[4:0];5'h8;R/W;;;;
0x0038;AGC_CONF11;pclk;reset_n;;;;[31:24];4'h0;RO;;;;
;;;;;;reg_sat_unlock_th4ltf;[23:22];2'h1;R/W;;;;
;;;;;;reg_gain_drop_fir;[21:15];7'h3c;R/W;;;;
;;;;;;reg_gain_drop_sec;[14:8];7'h46;R/W;;;;
;;;;;;reg_sat_val_b4ltf_th;[7:0];8'h50;R/W;;;;
0x003C;AGC_CONF12;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_adj_times_trackrf_ud;[30:29];2'h2;R/W;;;;
;;;;;;reg_adj_times_track2_fine;[28:27];2'h0;R/W;;;;
;;;;;;reg_adj_times_track2_coarse;[26];1'h1;R/W;;;;
