Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;
0x0000;TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;;
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~;
0x0004;TXBF_CONF0;pclk;reset_n;;;;[31];1'b0;RO;;;;;
;;;;;;reg_bfee_swap_en;[30];1'b1;R/W;;;;;
;;;;;;cfg_bfee_neg_pha;[29];1'b0;R/W;;;;;
;;;;;;cfg_bfee_swap_beta;[28:25];4'h8;R/W;;;;~8/64=0.125(RM);
;;;;;;cfg_bfee_min_noise;[24:13];12'h002;R/W;;;;~add flexibility; 1/512 in RM
;;;;;;cfg_bfee_bypass_hscale;[12];1'b0;R/W;;;;;
;;;;;;cfg_en_txbf;[11];1'b1;R/W;;;;~;
;;;;;;cfg_bfer_msb;[10];1'b0;R/W;;;;~add flexibility in RTL;
;;;;;;cfg_bfee_invert_bitmap;[9];1'b0;R/W;;;;~add flexibility in RTL;
;;;;;;reg_txbf2rx_proc_rdy_sel;[8];1'b0;R/W;;;;~0:pulse; 1: level
;;;;;;reg_bfee_sound_rst_bypass;[7];1'b1;R/W;;;;~;
;;;;;;reg_bfee_degen_thr;[6:0];7'd2;R/W;;;;;
0x0008;TXBF_CONF1;pclk;reset_n;;;cfg_bfee_timeout;[31:16];16'hffff;R/W;;;; ~;
;;;;;;cfg_bfer_timeout;[15:0];16'hffff;R/W;;;;~;
0x000C;TXBF_CONF2;pclk;reset_n;;;reg_clk_cg_bypass;[31];1'b0;R/W;;;;~;
;;;;;;reg_rst_req_bypass;[30];1'b0;R/W;;;;~;
;;;;;;reg_bfee_snr_upper_limit;[29:22];8'd255;R/W;;;;~;
;;;;;;reg_txbf_reserve;[21:0];22'd0;R/W;;;;~;
0x0010;TXBF_CONF3;pclk;reset_n;;;reg_bf_wr_mem_0data;[31:0];32'd0;R/W;;;;~;
0x0014;TXBF_CONF4;pclk;reset_n;;;reg_bf_wr_mem_1data;[31:0];32'd0;R/W;;;;~;
0x0018;TXBF_CONF5;pclk;reset_n;;;reg_bf_wr_mem_2data;[31:0];32'd0;R/W;;;;~;
0x001C;TXBF_CONF6;pclk;reset_n;;;;[31:24];8'd0;RO;;;;;
;;;;;;reg_bf_wr_ang_data;[23:8];16'd0;R/W;;;;~;
;;;;;;reg_bf_wr_mem_3data;[7:0];8'd0;R/W;;;;~;
0x0020;TXBF_CONF7;pclk;reset_n;;;;[31:27];5'd0;RO;;;;~;
;;;;;;reg_bf_trig_snr_thr;[26:19];8'd4;R/W;;;;~The threshold of triggered SNR;
;;;;;;reg_bf_trig_snr_nss_sel;[18];1'b0;R/W;;;;~0 means nss1 SNR,1 means nss2 SNR;
;;;;;;reg_bf_trig_snr_sel;[17];1'b0;R/W;;;;~0 means SNR per sub carrier,1 means average SNR;
;;;;;;reg_bf_wr_ang_en;[16];1'b0;R/W;;;;~;
;;;;;;reg_bf_wr_snr_en;[15];1'b0;R/W;;;;~;
;;;;;;reg_bf_wr_dsnr_en;[14];1'b0;R/W;;;;~;
;;;;;;reg_bf_wr_qmat_en;[13];1'b0;R/W;;;;~;
;;;;;;reg_bf_wr_mem_sel;[12:10];3'd0;R/W;;;;~;
;;;;;;reg_bf_mem_wen;[9];1'b0;R/W;;;;~;
;;;;;;reg_bf_wr_mem_addr;[8:0];9'd0;R/W;;;;~;
0x0024;TXBF_CONF8;pclk;reset_n;;;;[31:7];25'b0;RO;;;;;
;;;;;;reg_bf_dfx_data_vld_sel;[6];1'b0;R/W;;;;~0 means always valid,1 means dump when data is valid;
;;;;;;reg_bf_dfx_err_tri1_sel;[5:3];3'b0;R/W;;;;~select trigger1 signal;
;;;;;;reg_bf_dfx_err_tri0_sel;[2:0];3'b0;R/W;;;;~select trigger0 signal;
0x0028;DATE;pclk;reset_n;;;;[31:28];4'b0;RO;;;;;
;;;;Not;;reg_date;[27:0];28'h2506030;R/W;;;;~;
