Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;~
;;;;Not;;reg_txdfe_clk_en;[0];1'b0;R/W;;;;~
0x0004;DFE_CG_ERR;pclk;reset_n;;;;[31:29];3'h0;RO;;;;~
;;;;;;reg_clk_force_on_bwx4_txwin_ch0;[28];1'd0;R/W ;;;;~
;;;;;;reg_clk_force_on_bwx4_txwin_ch1;[27];1'd0;R/W ;;;;~
;;;;;;reg_clk_force_on_bwx4_iccfr_ch0;[26];1'd0;R/W ;;;;~
;;;;;;reg_clk_force_on_bwx4_iccfr_ch1;[25];1'd0;R/W ;;;;~
;;;;;;reg_tx_err_dis;[24:15];10'd0;R/W ;;;;~
;;;;;;reg_dpd_data_dly_mem_force_on;[14];1'd0;R/W ;;;;~
;;;;;;reg_tx_digana_mem_force_on;[13];1'd0;R/W ;;;;~
;;;;;;reg_tx_clk_force_on;[12:0];13'd0;R/W ;;;;~
0x0008;TX_DIGDC_CH0_CFG0;pclk;reset_n;;;reg_tx_fir1x_dotb_rk1_th;[31:28];4'd2;R/W;;;;
;;;;;;reg_tx_fir1x_dotb_rk0_th;[27:24];4'd1;R/W;;;;
;;;;;;reg_tx_dig_dco_0q_ch0;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_0i_ch0;[11:0];12'd0;R/W;;;;
0x000C;TX_DIGDC_CH1_CFG0;pclk;reset_n;;;reg_sw_2nd_dig_gain_ch1;[31:24];8'd0;R/W;;;;~
;;;;;;reg_tx_dig_dco_0q_ch1;[23:12];12'd0;R/W;;;;
;;;;;;reg_tx_dig_dco_0i_ch1;[11:0];12'd0;R/W;;;;
0x0010;DIG_GAIN_CFG;pclk;reset_n;;;;[31:30];2'd0;R/W;;;;~
;;;;;;reg_sw_1st_dig_gain_ch1;[29:21];9'd0;R/W;;;;~
;;;;;;reg_sw_2nd_dig_gain_ch0;[20:13];8'd0;R/W;;;;~
;;;;;;reg_sw_1st_dig_gain_ch0;[12:4];9'd0;R/W;;;;~
;;;;;;reg_sw_2nd_dig_gain_en_ch1;[3];1'd0;R/W;;;;~
;;;;;;reg_sw_1st_dig_gain_en_ch1;[2];1'd0;R/W;;;;~
;;;;;;reg_sw_2nd_dig_gain_en_ch0;[1];1'd0;R/W;;;;~
;;;;;;reg_sw_1st_dig_gain_en_ch0;[0];1'd0;R/W;;;;~
0x0014;CFR_CFG;pclk;reset_n;;;;[31:22];10'h0;RO;;;;~
;;;;;;reg_txtdm_dump_sel0;[21:20];2'h0;R/W;;;;~
;;;;;;reg_txtdm_dump_sel1;[19:16];4'h0;R/W;;;;~
;;;;;;reg_txtdm_dump_sel2;[15:12];4'h0;R/W;;;;~
;;;;;;;[11];1'h0;RO;;;;~
;;;;;;;[10];1'h0;RO;;;;~
;;;;;;reg_tx_iccfr_both_force_en_ch0;[9];1'h0;R/W;;;;~
;;;;;;reg_tx_iccfr_both_force_en_ch1;[8];1'h0;R/W;;;;~
;;;;;;reg_tx_iccfr_force_en_ch0;[7];1'h0;R/W;;;;~
;;;;;;reg_tx_iccfr_force_en_ch1;[6];1'h0;R/W;;;;~
;;;;;;reg_tx_hccfr_force_en_ch0;[5];1'h0;R/W;;;;~
;;;;;;reg_tx_hccfr_force_en_ch1;[4];1'h0;R/W;;;;~
;;;;;;reg_tx_iccfr_hetb_ena;[3:2];2'h0;R/W;;;;~
;;;;;;reg_tx_iccfr_dout_mode;[1:0];2'h0;R/W;;;;~
0x0018;NORM_CFG0;pclk;reset_n;;;;[31:29];3'h0;RO;;;;
;;;;;;reg_tx_frame_end_mode;[28];1'b1;R/W;;;;~
;;;;;;reg_tx_frame_end_wait;[27:18];10'd0;R/W;;;;~
;;;;;;reg_tx_iq_comp_bypass_ch1;[17];1'd0;R/W;;;;~
;;;;;;reg_tx_iq_comp_bypass_ch0;[16];1'd0;R/W;;;;~
;;;;;;reg_tx_iq_cmp_mode;[15];1'd0;R/W;;;;~
;;;;;;reg_tx_sco_ppm_inv;[14];1'd1;R/W;;;;
;;;;;;reg_tx_firat4xen_ch1;[13];1'b1;R/W;;;;~
;;;;;;reg_tx_firat4xen_ch0;[12];1'b1;R/W;;;;
;;;;;;;[11];1'b0;RO;;;;~
;;;;;;;[10];1'b0;RO;;;;
;;;;;;reg_11b_tx1_phase_rotate;[9:0];10'h0;R/W;;;;
0x001C;DPD_CFG0;pclk;reset_n;;;;[31:21];11'h0;RO;;;;~
;;;;;;reg_dpd_160m_apply_en;[20];1'd0;R/W;;;;~
;;;;;;reg_dpd_en_ch1;[19];1'd0;R/W;;;;~
;;;;;;reg_dpd_en_ch0;[18];1'd0;R/W;;;;
;;;;;;reg_dly_int;[17:11];7'd0;R/W;;;;~
;;;;;;reg_dly_en;[10];1'b0;R/W;;;;~
;;;;;;reg_dpd_lut_itera_addr;[9:2];8'd0;R/W;;;;~
;;;;;;reg_dpd_lut_itera_wr;[1];1'b0;R/W;;;;~
;;;;;;reg_dpd_lut_itera_ctrl;[0];1'b0;R/W;;;;~
0x0020;DPD_CFG1;pclk;reset_n;;;reg_dpd_lut_itera_wdata0;[31:0];32'h0;R/W;;;;~
0x0024;DPD_CFG2;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_dpd_lut_itera_wdata1;[27:20];8'd0;R/W;;;;~
