Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;TXFREQ_TEST_CONF;pclk;reset_n;;;;[31:1];31'h0;RO;;;;
;;;;Not;;reg_clk_en;[0];1'b0;R/W;;;;~
0x0004;TXFREQ_CLK_CONF;pclk;reset_n;;;reg_clk_tx_freq_en;[31];1'b0;R/W;;;;~
;;;;;;reg_clk_bfer_rd_en;[30];1'b0;R/W;;;;~
;;;;;;;[29:0];30'h0;RO;;;;
0x0008;TXFREQ_CLK_CONF_FORCE_ON;pclk;reset_n;;;reg_clk_tx_freq_fo;[31];1'b0;R/W;;;;~
;;;;;;reg_clk_bfer_rd_fo;[30];1'b0;R/W;;;;~
;;;;;;;[29:0];30'h0;RO;;;;
0x000C;TXFREQ_RST_CONF;pclk;reset_n;;;reg_rst_tx_freq;[31];1'b0;R/W;;;;~
;;;;;;reg_rst_bfer_rd;[30];1'b0;R/W;;;;~
;;;;;;;[29:0];30'h0;RO;;;;
0x0010;TX_DLY_CONF1;pclk;reset_n;;;;[31:28];4'd0;RO;;;;
;;;;;;reg_tx_freq_bw4x_dly;[27:24];4'd12;R/W;;;;~Unit: user_bw4x clock period
;;;;;;;[23:21];3'd0;RO;;;;
;;;;;;reg_40m_tx_ifft_bw4x_dly;[20:12];9'd96;R/W;;;;~Unit: user_bw4x clock period
;;;;;;;[11:9];3'd0;RO;;;;
;;;;;;reg_20m_tx_ifft_bw4x_dly;[8:0];9'd66;R/W;;;;~Unit: user_bw4x clock period
0x0014;TX_DLY_CONF2;pclk;reset_n;;;reg_tx11b_bw4x_dly;[31:24];8'd141;R/W;;;;~
;;;;;;;[23:21];3'd0;RO;;;;
;;;;;;reg_160m_tx_ifft_bw4x_dly;[20:12];9'd330;R/W;;;;~Unit: user_bw4x clock period
;;;;;;;[11:9];3'd0;RO;;;;
;;;;;;reg_80m_tx_ifft_bw4x_dly;[8:0];9'd186;R/W;;;;~Unit: user_bw4x clock period
0x0018;TX_DLY_CONF3;pclk;reset_n;;;;[31];1'd0;RO;;;;
;;;;;;reg_160m_tx_dfe_bw4x_dly;[30:24];7'd88;R/W;;;;~Unit: user_bw4x clock period
;;;;;;;[23];1'd0;RO;;;;
;;;;;;reg_80m_tx_dfe_bw4x_dly;[22:16];7'd73;R/W;;;;~Unit: user_bw4x clock period
;;;;;;;[15];1'd0;RO;;;;
;;;;;;reg_40m_tx_dfe_bw4x_dly;[14:8];7'd65;R/W;;;;~Unit: user_bw4x clock period
;;;;;;;[7];1'd0;RO;;;;
;;;;;;reg_20m_tx_dfe_bw4x_dly;[6:0];7'd65;R/W;;;;~Unit: user_bw4x clock period
0x001C;TX_DLY_CONF4;pclk;reset_n;;;;[31:30];2'd0;RO;;;;
;;;;;;reg_tx_dfe_phym4x_dly;[29:24];6'd22;R/W;;;;~Unit: phym4x clock period
;;;;;;;[23:21];3'd0;RO;;;;
;;;;;;reg_tx_rf_dly;[20:12];9'd2;R/W;;;;~Unit: 1/640 us
;;;;;;reg_tx_rfon_dly;[11:0];12'd960;R/W;;;;~Unit: 1/640 us
0x0020;TX_DLY_CONF5;pclk;reset_n;;;;[31:14];18'd0;RO;;;;
;;;;;;reg_tx_iq_phym4x_dly;[13:8];6'd5;R/W;;;;~Unit: 1/640 us
;;;;;;;[7:6];2'd0;RO;;;;
;;;;;;reg_tx_dpd_phym4x_dly;[5:0];6'd10;R/W;;;;~Unit: 1/640 us
0x0024;TX_DFX_CTRL;pclk;reset_n;;;;[31:29];3'd0;RO;;;;
;;;;;;reg_txfreq_dump_tri_1sel;[28:24];5'd24;R/W;;;;~
;;;;;;;[23:21];3'd0;RO;;;;
;;;;;;reg_txfreq_dump_tri_0sel;[20:16];5'd0;R/W;;;;~
;;;;;;reg_txfreq_errcode_mask;[15:4];12'hFFF;R/W;;;;~
;;;;;;reg_ifft_din_punc_bmap;[3:2];2'd0;R/W;;;;~
;;;;;;reg_txfreq_dump_done_sel;[1];1'b0;R/W;;;;~
;;;;;;reg_txfreq_dfx_err_count_clr;[0];1'b0;R/W;;;;~
0x0028;TX_DFX_2CTRL;pclk;reset_n;;;;[31:11];21'd0;RO;;;;
;;;;;;reg_tx_freq_dump_done_sym;[10:0];11'd0;R/W;;;;~
0x002C;TX_DFX_RPT0;pclk;reset_n;;;reg_txfreq_st_rpt;[31:0];32'd0;RO;;;;~
0x0030;TX_DFX_RPT1;pclk;reset_n;;;reg_txfreq_dfx_err_1cnt;[31:0];32'd0;RO;;;;~
0x0034;TX_DFX_RPT2;pclk;reset_n;;;reg_txfreq_dfx_err_2cnt;[31:0];32'd0;RO;;;;~
0x0038;TX_CTRL_RSV;pclk;reset_n;;;;[31:4];28'd0;RO;;;;
;;;;;;reg_txfreq_ctrl_rsv;[3:0];4'd0;R/W;;;;~
0x003C;TX_PWR_BOOST_CTRL;pclk;reset_n;;;;[31:17];15'd0;RO;;;;
;;;;;;reg_pilot_boost6db;[16];1'b0;R/W;;;;
;;;;;;;[15];1'd0;RO;;;;
;;;;;;reg_lstf_boost_mcs_th_nht;[14:12];3'd3;R/W;;;;
;;;;;;;[11:8];4'd0;RO;;;;
;;;;;;reg_lstf_boost_mcs_th;[7:4];4'd3;R/W;;;;
;;;;;;reg_pilot_boost_enable;[3];1'b0;R/W;;;;
